day,z_f_1,z_f_2,z_f_3,z_f_4,z_f_5,z_f_6,z_f_7,z_f_8
2560,0.058590278,0.028235003,-0.13898468,0.07903622,-0.29518962,0.118023455,-0.023577943,0.022523854
2580,0.044202626,0.057251044,-0.11788386,0.08868894,-0.32711935,0.14416963,-0.07020937,0.020490825
2600,0.036619194,0.06318704,-0.11323826,0.08614314,-0.3147662,0.110334165,-0.07220632,0.0067539364
2620,0.06918833,-0.009359576,-0.15424234,0.045875575,-0.25355145,0.08892253,0.030710198,0.03724374
2640,0.0169679,0.100541316,-0.104978085,0.11774367,-0.36638334,0.10439488,-0.1031359,-0.025812138
2660,0.06736927,-0.03136795,-0.15969056,0.023951352,-0.25409308,0.06907575,0.033501606,0.020655474
2680,0.01609267,0.099262774,-0.10565876,0.13292536,-0.36674994,0.12189909,-0.11718951,-0.0123791285
2700,0.07334848,-0.023696858,-0.16231439,0.038318604,-0.2655203,0.094633594,0.04822492,0.030471291
2720,-0.030005984,0.14812124,-0.11563602,0.15929553,-0.41492668,0.133055,-0.15508653,-0.009404149
2740,0.06337224,0.014708953,-0.15297224,0.06431232,-0.28216863,0.11275468,-0.020094208,0.033229105
2760,0.0761513,0.013296492,-0.13944468,0.062308777,-0.30394953,0.11407831,-0.036875658,0.033863932
2780,0.016524937,0.12214165,-0.08779101,0.1135547,-0.39282322,0.12023797,-0.11975263,-0.018965147
2800,0.0760441,-0.014483059,-0.15470046,0.0287188,-0.27070978,0.08571368,0.0067762174,0.029844042
2820,0.07095845,0.021653464,-0.14203978,0.0575499,-0.3162441,0.11260938,-0.050505772,0.030126788
2840,-0.02102343,0.16247016,-0.10029439,0.15471438,-0.43227848,0.13066775,-0.15634927,-0.021031275
2860,0.07316181,-0.03616853,-0.17777385,0.024183445,-0.24813452,0.08185698,0.055291425,0.03629169
2880,0.06666343,0.04282642,-0.12728962,0.06985559,-0.33708295,0.113232404,-0.080470875,0.013941409
2900,0.06364591,0.04116941,-0.13933992,0.06683764,-0.34164608,0.10576369,-0.07171382,0.015797466
2920,-0.008161806,0.1604358,-0.13811813,0.177093,-0.44689044,0.11889167,-0.17738448,-0.0435619
2940,0.051653657,0.0722366,-0.13120525,0.08879629,-0.37899274,0.16761254,-0.1008348,0.018120283
2960,0.070705295,-0.009529602,-0.16284145,0.03719705,-0.27335066,0.09790118,0.01782785,0.036852803
2980,0.051849276,0.08127429,-0.118880354,0.10611207,-0.39315107,0.15352085,-0.1317267,0.016526269
3000,0.06155069,0.057765473,-0.13504378,0.08153272,-0.352616,0.14280136,-0.09290123,0.041518427
3020,0.06429389,0.05655192,-0.13842832,0.077767335,-0.35852945,0.12930897,-0.08961183,0.021008477
3040,0.061824754,0.08051208,-0.124047615,0.08168155,-0.38614932,0.11815647,-0.11310136,-0.010882806
3060,0.085464954,0.027483914,-0.14343235,0.049878046,-0.35132024,0.13489832,-0.068968385,0.022169184
3080,0.087533906,0.037039034,-0.1306125,0.058652736,-0.35250607,0.14068907,-0.089092284,0.024643801
3100,0.06837268,0.079002075,-0.12491385,0.0820854,-0.3894632,0.12933162,-0.11268191,-0.00014265999
3120,0.097947665,-0.060369994,-0.19906718,-0.0055189207,-0.27394363,0.08436418,0.06460896,0.035806112
3140,0.0069278516,0.16536257,-0.1534647,0.18278947,-0.47813934,0.13214064,-0.1979119,-0.032075442
